PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,Revenue
0.10471090877825937,0.11557642858306648,-0.3958588664733748,-0.36781083509529694,0.7923262920010895,0.687524329019911,-0.4136241692357999,0.4048632976315737,-0.2959991346040835,-0.032112301829070086,-0.02002459524823995,0.14193738000598424,0.12897056202246346,-0.10067223341853143,-0.4068288310915861,0.8457487366713837,0
0.0006005975740183361,0.14266243999339054,-0.27143346736644786,-0.12943434190222114,0.17853749800909344,-0.07419765702239488,-0.2589091513730383,0.31582091778478005,-0.12033015796288167,0.0548171517851311,0.010389305523728907,0.21116804769109648,0.17153665453566394,0.01845458954450826,-0.5774342421906056,0.7744365838101821,0
0.11037544652943047,0.14615303011219916,-0.3924924782855997,-0.24120333910754366,0.7712159946751501,0.936402941019313,0.5676042680045777,0.3737284781314099,-0.20842223168638546,-0.012133750891296442,-0.0367002574055662,0.15592574830229608,0.12870204293376414,0.008546959567071685,-0.3459344542582949,0.8667350564939336,0
0.03476142525250804,0.13320952670819425,-0.3104069707672483,-0.17702472282769974,0.36547509979746295,0.2020365051642165,-0.17126474574960765,0.32826173693785143,-0.037567429533122136,0.07485755959890959,-0.0034437163997606515,0.1921694129239707,0.1571489264982543,0.05117299897533671,-0.5157617149524049,0.7989402590155993,0
-0.1231492350368147,0.04800066659913743,0.7111567866762406,-0.09575843527094943,0.3075470753461781,-0.10856191377479067,-0.2301774921280187,0.30913160218162583,0.01706201827314502,0.11684539577582599,0.0016830995063567766,0.20552272369770846,0.17637627937649664,0.13587485084880896,-0.5415532593320548,0.8033901881506077,0
-0.023537868587788398,0.14254972542976846,-0.2444912744597968,-0.07690231982375079,0.05369335201789155,-0.21920170007847872,-0.22971471435432414,0.30266066090458604,-0.056145416441093235,0.07740462078150345,0.014214228282843074,0.2086720037445461,0.1749575109603142,-0.0004985476343118141,-0.5465288015632507,0.7982867378909791,0
0.18310153050536865,0.08428948102042598,-0.3933796812369393,-0.3266293317772284,0.7907184253528138,0.7747772650969135,-0.15571295117170733,0.3545127038382753,-0.14901318947959427,0.013142820675375285,-0.04177352136697585,0.523528623990997,0.11960355763828365,0.11509676553107405,-0.33307568293637346,0.8056658583224109,0
-0.005149831042460759,0.012790376637685306,0.5718971337427924,-0.3586371931415266,0.9864297978088952,0.73186565981699,-0.3982966916764838,0.40319413690111205,-0.0964232770431207,0.04394808139167626,-0.03000671799901628,0.13108775274885376,0.13623161696072,-0.07508875891319597,-0.3996552284820444,0.8721214340055812,0
0.1510724439162621,0.0677932916872955,-0.2600931749383549,-0.1204124685748174,0.18244928754897274,-0.026001017921688536,-0.14737337432672912,0.24794336567144196,-0.05747097862993353,0.051713069607336716,-0.017833897789465404,0.966724914858856,0.1714417827291696,-0.022430618583615676,-0.4338240370746997,0.6712637329979367,0
0.045416993637613125,0.11237146281063946,-0.2328922568496378,-0.06336058752643035,0.01631509443449461,-0.25881360825814703,-0.22009402789221236,0.26400271871511466,-0.06211016320594932,0.074122893647312,0.0013893283515027698,0.5956600278750205,0.1716181733924783,0.13846139376544692,-0.5027758544093911,0.7374972673780549,0
